subj_idx,stim,response,rt,condition,MotCon,pupil,baseline
2,0.0,0,0.6033,1,-1,0.146,-1.062
2,0.0,1,0.8736,1,1,0.420,-1.272
2,0.5,1,1.0295,1,1,0.571,-0.649
2,0.0,1,0.8696,1,1,0.259,-0.203
2,0.0,0,1.0373,1,-1,-0.242,-0.762
2,0.5,1,0.9285,1,1,-0.150,-0.122
2,0.0,0,1.2699,1,-1,0.219,-0.636
2,-1.5,0,0.6619,1,-1,-0.038,0.327
2,0.0,1,1.1429,1,1,-0.128,-0.278
2,0.5,1,1.2135,-1,-1,-0.732,0.886
2,0.0,0,1.3839,-1,1,-0.287,0.860
2,0.0,1,0.8636,-1,-1,-0.177,0.233
2,-1.5,0,0.8255,-1,1,-0.159,-0.811
2,0.0,1,0.9244,-1,-1,0.089,-0.114
2,0.0,0,0.8843,-1,1,-0.284,0.249
2,0.0,1,1.9999,-1,-1,1.018,-1.192
2,0.0,1,0.9371,-1,-1,0.051,-0.136
2,-0.5,0,0.7580,-1,1,0.125,-0.329
2,1.5,1,1.0297,-1,-1,0.607,-0.668
2,0.0,0,0.7629,-1,1,0.284,-1.022
2,0.0,1,1.0590,-1,-1,-0.004,-0.925
2,0.0,0,0.9734,-1,1,0.459,-0.963
2,0.0,1,1.3783,-1,-1,0.486,-1.506
2,0.0,1,2.5458,-1,-1,1.363,-1.228
2,0.0,1,0.8958,-1,-1,-0.218,0.194
2,0.5,1,0.7489,-1,-1,0.005,-0.677
2,0.0,0,0.8667,-1,1,-0.108,-0.077
2,0.0,0,1.4104,-1,1,-0.481,-0.544
2,0.0,1,0.8386,-1,-1,0.330,-1.303
2,0.5,1,1.9345,-1,-1,-0.426,-0.524
2,0.0,1,1.5553,-1,-1,0.413,-0.936
2,-1.5,0,0.5999,-1,1,0.480,-1.137
2,-0.5,0,0.6345,-1,1,0.041,-0.910
